match,group,is_participating,start,end,content
1,0,yes,5,3185,"1
FAMILY  Tricholomataceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota
LATIN NAME(S)  Arrhenia acerosa  (Fr.: Fr.) Kuehner^  Les Hymenocetes Agaricoides  893, 992. 1980;  == Leptoglossum acerosum  (Fr.) M.M. Moser;  == Omphalina acerosa  (Fr.) M. Lange;  == Pleurotus acerosus  (Fr.) Quel.;  == Pleurotellus acerosus  (Fr.) Konrad & Maubl.
ENGLISH NAME(S)  
NOTES  Also listed in Gilled category. Features include a small gray spathulate to kidney-shaped cap, close to subdistant gray fold-like to gill-like gills, short lateral stem, and habitat on ground or among plant debris.^ RANGE Redhead examined collections of Arrhenia acerosa from BC, NS, ON, CA, MI, NY, TN, Argentina, Czech Republic, Sweden, and the United Kingdom. It is also found elsewhere in Europe including Switzerland (Breitenbach) and Britain/Ireland (Buczacki).
CHEMICAL REACTIONS  
CAP  0.6-3.5cm, obovate to spathulate, dimidiate [roughly semicircular], kidney-shaped, (or rarely nearly cyathiform), submembranous, the surface usually depressed, margins incurved at first, often uneven or undulate, later somewhat scalloped, margin occasionally lobed or incised; hygrophanous, ""livid-gray or grayish-brown"" (Peck 1886), ""fuscous to Chaetura drab"" (Hesler, 1933), or grayish sepia to pale mouse gray; moist to dry, initially opaque but later translucent, sometimes rugose, sometimes whitish-pubescent centrally, striate, (Redhead)^, 0.8-2cm, gray, silky, +/- semicircular, (Moser), up to 2cm, spathulate or kidney-shaped, lobed; gray; felted, (Courtecuisse)
FLESH  colored as cap^ (Redhead)
UNDERSIDE  ridges variable, often thick when young, suggesting Cantharellus, later thin and gill-like, adnate to decurrent, moderately spaced to subdistant, irregularly with 2 or 3 tiers of subgills, occasionally forked; colored as cap or paler; occasionally interveined^, (Redhead), gray (Moser), close; gray, (Courtecuisse)
STEM  up to 1.8cm long, 0.5cm wide, ""attached either by a weft of whitish mycelium and either pendant or lateral or with stem-like broad plug of whitish to grayish tissue and perpendicularly or clinally ascending, sometimes pubescent to strigose""^, (Redhead), 1-3cm x 0.3-1cm, gray-whitish, (Moser), short, lateral, pubescent, (Courtecuisse)
ODOR  not distinctive^ (Redhead)
TASTE  not distinctive^ (Redhead)
EDIBILITY  
HABITAT  on various mosses, especially Dicranum species, ""or near mosses and then either terrestrial or on litter close to the soil or mosses, in coniferous forests, burn sites, seepage sites, or moss carpets""^, (Redhead)
SPORE DEPOSIT  presumably pale
MICROSCOPIC  spores 5-9 x 4.2-5.5 microns, variable in shape, often predominantly nearly round or broadly obovoid, but also sometimes mostly elliptic, or with intermediate forms, smooth, thin-walled, inamyloid, colorless^; basidia 4-spored, clavate, clamped, nearly colorless or in scattered individuals with fuscous sordid cellular contents, (Redhead), spores 6-8 x 3-4.5 microns, elliptic, (Moser), pleurocystidia and cheilocystidia absent; clamp connections present, (Watling)
NAME ORIGIN  
SIMILAR  
SOURCES  Redhead(7), Courtecuisse(1)*, Moser(1) (as Leptoglossum), Watling(2), Breitenbach(3)*
"
1,1,yes,5,7,1

1,2,yes,7,13,FAMILY
1,3,yes,14,94," Tricholomataceae, Order Agaricales, Class Agaricomycetes, Phylum Basidiomycota
"
1,4,yes,94,107,LATIN NAME(S)
1,5,yes,108,363," Arrhenia acerosa  (Fr.: Fr.) Kuehner^  Les Hymenocetes Agaricoides  893, 992. 1980;  == Leptoglossum acerosum  (Fr.) M.M. Moser;  == Omphalina acerosa  (Fr.) M. Lange;  == Pleurotus acerosus  (Fr.) Quel.;  == Pleurotellus acerosus  (Fr.) Konrad & Maubl.
"
1,6,yes,363,378,ENGLISH NAME(S)
1,7,yes,379,381, 

1,8,yes,381,386,NOTES
1,9,yes,387,856," Also listed in Gilled category. Features include a small gray spathulate to kidney-shaped cap, close to subdistant gray fold-like to gill-like gills, short lateral stem, and habitat on ground or among plant debris.^ RANGE Redhead examined collections of Arrhenia acerosa from BC, NS, ON, CA, MI, NY, TN, Argentina, Czech Republic, Sweden, and the United Kingdom. It is also found elsewhere in Europe including Switzerland (Breitenbach) and Britain/Ireland (Buczacki).
"
1,10,yes,856,874,CHEMICAL REACTIONS
1,11,yes,875,877, 

1,12,yes,877,880,CAP
1,13,yes,881,1553," 0.6-3.5cm, obovate to spathulate, dimidiate [roughly semicircular], kidney-shaped, (or rarely nearly cyathiform), submembranous, the surface usually depressed, margins incurved at first, often uneven or undulate, later somewhat scalloped, margin occasionally lobed or incised; hygrophanous, ""livid-gray or grayish-brown"" (Peck 1886), ""fuscous to Chaetura drab"" (Hesler, 1933), or grayish sepia to pale mouse gray; moist to dry, initially opaque but later translucent, sometimes rugose, sometimes whitish-pubescent centrally, striate, (Redhead)^, 0.8-2cm, gray, silky, +/- semicircular, (Moser), up to 2cm, spathulate or kidney-shaped, lobed; gray; felted, (Courtecuisse)
"
1,14,yes,1553,1558,FLESH
1,15,yes,1559,1586, colored as cap^ (Redhead)

1,16,yes,1586,1595,UNDERSIDE
1,17,yes,1596,1912," ridges variable, often thick when young, suggesting Cantharellus, later thin and gill-like, adnate to decurrent, moderately spaced to subdistant, irregularly with 2 or 3 tiers of subgills, occasionally forked; colored as cap or paler; occasionally interveined^, (Redhead), gray (Moser), close; gray, (Courtecuisse)
"
1,18,yes,1912,1916,STEM
1,19,no,-1,-1,
1,20,no,-1,-1,
1,21,yes,1917,2254," up to 1.8cm long, 0.5cm wide, ""attached either by a weft of whitish mycelium and either pendant or lateral or with stem-like broad plug of whitish to grayish tissue and perpendicularly or clinally ascending, sometimes pubescent to strigose""^, (Redhead), 1-3cm x 0.3-1cm, gray-whitish, (Moser), short, lateral, pubescent, (Courtecuisse)
"
1,22,yes,2254,2258,ODOR
1,23,yes,2259,2287, not distinctive^ (Redhead)

1,24,yes,2287,2292,TASTE
1,25,yes,2293,2321, not distinctive^ (Redhead)

1,26,yes,2321,2330,EDIBILITY
1,27,yes,2330,2333,  

1,28,yes,2333,2340,HABITAT
1,29,yes,2341,2555," on various mosses, especially Dicranum species, ""or near mosses and then either terrestrial or on litter close to the soil or mosses, in coniferous forests, burn sites, seepage sites, or moss carpets""^, (Redhead)
"
1,30,yes,2555,2568,SPORE DEPOSIT
1,31,yes,2568,2586,  presumably pale

