bir,:,FAMILY,LATIN NAMES,ENGLISH NAMES,NOTES,NEST,OUTER SURFACE,INNER SURFACE,EGGS,EDIBILITY,HABITAT,MICROSCOPIC,NAME ORIGIN,SIMILAR,SOURCES,,,,
bol,:,FAMILY,LATIN NAMES,ENGLISH NAMES,NOTES,CHEMICAL REACTIONS,CAP,FLESH,PORES,STEM,ODOR,TASTE,EDIBILITY,HABITAT,SPORE DEPOSIT,MICROSCOPIC,NAME ORIGIN,SIMILAR,SOURCES
clu,:,FAMILY,LATIN NAMES,ENGLISH NAMES,NOTES,CHEMICAL REACTIONS,FRUITING BODY,FLESH,STEM,ODOR,TASTE,EDIBILITY,HABITAT,SPORE DEPOSIT,MICROSCOPIC,NAME ORIGIN,SIMILAR,SOURCES,
cor,:,FAMILY,LATIN NAMES,ENGLISH NAMES,NOTES,CHEMICAL REACTIONS,FRUITING BODY,FLESH,BRANCH COLOR,STEM,ODOR,TASTE,EDIBILITY,HABITAT,SPORE DEPOSIT,MICROSCOPIC,NAME ORIGIN,SIMILAR,SOURCES
cru,:,FAMILY,LATIN NAMES,ENGLISH NAMES,NOTES,FRUITING BODY,HABITAT,MICROSCOPIC,NAME ORIGIN,SIMILAR,SOURCES,,,,,,,,
cup,:,FAMILY,LATIN NAMES,ENGLISH NAMES,NOTES,CHEMICAL REACTIONS,UPPER SURFACE,FLESH,UNDERSIDE,STEM,ODOR,TASTE,EDIBILITY,HABITAT,SPORE DEPOSIT,MICROSCOPIC,NAME ORIGIN,SIMILAR,SOURCES
gil,:,FAMILY,LATIN NAMES,ENGLISH NAMES,NOTES,CAP,FLESH,GILLS,STEM,VEIL,ODOR,TASTE,EDIBILITY,HABITAT,SPORE DEPOSIT,MICROSCOPIC,NAME ORIGIN,SIMILAR,SOURCES
jel,:,FAMILY,LATIN NAMES,ENGLISH NAMES,NOTES,FRUITING BODY,HABITAT,MICROSCOPIC,NAME ORIGIN,SIMILAR,SOURCES,,,,,,,,
mor,:,FAMILY,LATIN NAMES,ENGLISH NAMES,NOTES,CHEMICAL REACTIONS,CAP,FLESH,UNDERSIDE,STEM,ODOR,TASTE,EDIBILITY,HABITAT,SPORE DEPOSIT,MICROSCOPIC,NAME ORIGIN,SIMILAR,SOURCES
oth,:,FAMILY,LATIN NAMES,ENGLISH NAMES,NOTES,FRUITING BODY,HABITAT,MICROSCOPIC,NAME ORIGIN,SIMILAR,SOURCES,,,,,,,,
pol,:,FAMILY,LATIN NAMES,ENGLISH NAMES,NOTES,CHEMICAL REACTIONS,CAP,FLESH,PORES,STEM,ODOR,TASTE,EDIBILITY,HABITAT,SPORE DEPOSIT,MICROSCOPIC,NAME ORIGIN,SIMILAR,SOURCES
